product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
4.6,3193,https://www.daraz.pk/products/aaaaaaaa-aaaaaaaa-5-aaaa-aaaaaa-aaaaaaaa-aaaaaaaa-aaaaaaaaaa-aaaaaaaa-aaaa-aaaaaa-i143150814-s1304028652.html?search=1,2000,1419,-29%,https://static-01.daraz.pk/p/6c8828d04f255677c3441838f0eda6b7.jpg,The Vintage,The Vintage Clothing Pack of 5 plain half sleeves T shirts for men,289138,143150814,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=143150814&channelSource=pdp
5.0,5,https://www.daraz.pk/products/pack-of-2-imported-high-quality-stylish-trendy-printed-men-tees-t-shirt-i171560118-s1342392557.html?search=1,2000,649,-68%,https://static-01.daraz.pk/p/3639cfb5725c9eea3db54b455ac5a235.jpg,The Vintage,Pack of 2 imported high quality stylish trendy printed men tees t shirt,289138,171560118,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=171560118&channelSource=pdp
4.6,67,https://www.daraz.pk/products/-i169128953-s1338736921.html?search=1,1000.0,349.0,-65%,https://static-01.daraz.pk/p/922f4385b14d817b9830ca3308a6c66b.jpg,The Vintage,New High quality imported printed t shirt for men,289138,169128953,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=169128953&channelSource=pdp
3.9,12,https://www.daraz.pk/products/2-i171540823-s1342380963.html?search=1,2000,649,-68%,https://static-01.daraz.pk/p/c9755c583c279230438c2d99d9202e08.jpg,The Vintage,Pack of 2 imported high quality stylish super hero casual printed men tees t shirt,289138,171540823,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=171540823&channelSource=pdp
4.8,11,https://www.daraz.pk/products/2-i171560184-s1342394588.html?search=1,2000,649,-68%,https://static-01.daraz.pk/p/cd800c1917b3a9aae54f3eb3ee4bc7fd.jpg,The Vintage,Pack of 2 imported high quality stylish super hero casual printed men tees t shirt,289138,171560184,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=171560184&channelSource=pdp
4.9,8,https://www.daraz.pk/products/select-by-daraz-t-shirt-for-men-boys-black-premium-quality-i391500009-s1915103969.html?search=1,799,399,-50%,https://static-01.daraz.pk/p/8a397a38d2646bce7b8e0e6a8251e780.png,Select by Daraz,Select by Daraz - T shirt For Men & Boys - Black (Premium Quality),123801216,391500009,Select by Daraz,92%,0.92,3,1000000,100%,//www.daraz.pk/shop/select-by-daraz/?itemId=391500009&channelSource=pdp
4.3,7,https://www.daraz.pk/products/select-by-daraz-t-shirt-for-men-boys-white-premium-quality-i391493594-s1915103995.html?search=1,899,499,-44%,https://static-01.daraz.pk/p/92812f550ba948c85051a71f13714279.png,Select by Daraz,Select by Daraz - T shirt For Men & Boys - White (Premium Quality),123801216,391493594,Select by Daraz,92%,0.92,3,1000000,100%,//www.daraz.pk/shop/select-by-daraz/?itemId=391493594&channelSource=pdp
4.3,40,https://www.daraz.pk/products/2-i171560199-s1342400367.html?search=1,2000.0,649.0,-68%,https://static-01.daraz.pk/p/da5e4ac6d7aaa97561a4c0d2dd0ab449.jpg,The Vintage,Pack of 2 imported high quality stylish casual printed men tees t shirt,289138,171560199,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=171560199&channelSource=pdp
4.4,32,https://www.daraz.pk/products/-i169134320-s1338754150.html?search=1,1000,349,-65%,https://static-01.daraz.pk/p/9e0e77b71a32e61b21cf1d6d64b0b6e7.jpg,The Vintage,High quality imported superman printed t shirt for men,289138,169134320,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=169134320&channelSource=pdp
4.8,12,https://www.daraz.pk/products/-i275218701-s1489051480.html?search=1,899.0,387.0,-57%,https://static-01.daraz.pk/p/d45c5f5df07cd4b5cd92bfef2811dda2.jpg,Paradise Zone,New Short Sleeve Printed Tshirt For Men,289682,275218701,Paradise Zone,91%,0.91,3,1042506,100%,//www.daraz.pk/shop/paradise-zone/?itemId=275218701&channelSource=pdp
5.0,2,https://www.daraz.pk/products/elo-mens-ricardo-short-sleeve-minor-fault-tee-shirt-i382748433-s1884360523.html?search=1,349,279,-20%,https://static-01.daraz.pk/p/4a69cf88c3b9201c1bf44420cd1b4c65.jpg,ELO,elo -  Ricardo Short Sleeve Minor Fault t shirt for men,37270,382748433,elo,83%,0.83,3,10199,100%,//www.daraz.pk/shop/elo/?itemId=382748433&channelSource=pdp
4.5,11,https://www.daraz.pk/products/-i347866693-s1775971290.html?search=1,899,435,-52%,https://static-01.daraz.pk/p/cd490c4fd8df77315ada1b0691bb5719.jpg,Paradise Zone,New Short Sleeve SANFRANSCO Printed Summer Fashion Tshirt For Men,289682,347866693,Paradise Zone,91%,0.91,3,1042506,100%,//www.daraz.pk/shop/paradise-zone/?itemId=347866693&channelSource=pdp
4.0,4,https://www.daraz.pk/products/-i272318023-s1485332611.html?search=1,999,199,-80%,https://static-01.daraz.pk/p/bddb8d38e8d8c736662c6cbfe1d71b88.jpg,No Brand,Red - Plain Round Neck Half Sleeves T-Shirt For Men,39704,272318023,Sherooz Collection,82%,0.82,3,8233,100%,//www.daraz.pk/shop/sherooz-collection-rawalpindi/?itemId=272318023&channelSource=pdp
4.4,169,https://www.daraz.pk/products/2-i171548561-s1342388944.html?search=1,2000,649,-68%,https://static-01.daraz.pk/p/f679afb00c941f193133d04cab3373a3.jpg,The Vintage,Pack of 2 imported high quality stylish casual printed men tees t shirt,289138,171548561,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=171548561&channelSource=pdp
4.3,93,https://www.daraz.pk/products/-i169874791-s1339684089.html?search=1,1000,349,-65%,https://static-01.daraz.pk/p/f57bde328d380abd7b63990e642392e2.jpg,The Vintage,New high quality lining style printed T shirt for men,289138,169874791,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=169874791&channelSource=pdp
4.0,2,https://www.daraz.pk/products/white-messi-printed-half-sleeves-t-shirts-i135338046-s1295608755.html?search=1,1000,270,-73%,https://static-01.daraz.pk/p/53b7613749565dd11158a213e68a9032.jpg,The Vintage,White Messi printed half sleeves T shirts,289138,135338046,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=135338046&channelSource=pdp
3.3,3,https://www.daraz.pk/products/-i398409828-s1927356948.html?search=1,4990.0,1497.0,-70%,https://static-01.daraz.pk/p/be4980bf127d2942cc7cf13c00fd5a2e.jpg,Levis,Levi's® Men's Slouchy Pocket Tee,40631,398409828,Levi's,92%,0.92,3,1000000,100%,//www.daraz.pk/shop/levis/?itemId=398409828&channelSource=pdp
4.8,4,https://www.daraz.pk/products/-i401528017-s1937968380.html?search=1,899,498,-45%,https://static-01.daraz.pk/p/1a586e6197e320034fb201646ccf5bab.jpg,Paradise Zone,Paradise ZOne New Short Sleeves Panel Contrast Fashion Tshirt For Men,289682,401528017,Paradise Zone,91%,0.91,3,1042506,100%,//www.daraz.pk/shop/paradise-zone/?itemId=401528017&channelSource=pdp
4.5,22,https://www.daraz.pk/products/-i330631254-s1714829141.html?search=1,899.0,484.0,-46%,https://static-01.daraz.pk/p/9321020c7f8c0f79bdc5a4e44280e9db.jpg,Paradise Zone,Oversized Men's T shirts Dropped Shoulder Short Sleeve Tops Summer New Korean Style Loose Fit T-shirt For Men,289682,330631254,Paradise Zone,91%,0.91,3,1042506,100%,//www.daraz.pk/shop/paradise-zone/?itemId=330631254&channelSource=pdp
4.7,42,https://www.daraz.pk/products/3-i170606485-s1340680351.html?search=1,3000.0,999.0,-67%,https://static-01.daraz.pk/p/1d77c647a62abaa6848da46919c263ce.jpg,The Vintage,Pack of 3 high quality imported casual printed T shirt for men,289138,170606485,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=170606485&channelSource=pdp
3.9,7,https://www.daraz.pk/products/pubg-t-i275082020-s1488784347.html?search=1,999,199,-80%,https://static-01.daraz.pk/p/ec8b96271fa8fee9b5066aae5928c071.jpg,No Brand,PUBG T Shirt For Men,39704,275082020,Sherooz Collection,82%,0.82,3,8233,100%,//www.daraz.pk/shop/sherooz-collection-rawalpindi/?itemId=275082020&channelSource=pdp
4.5,126,https://www.daraz.pk/products/3-i170618021-s1340670840.html?search=1,3000,999,-67%,https://static-01.daraz.pk/p/69a3ab0729bc47b4c45ae5eb0e05a6aa.jpg,The Vintage,Pack of 3 high quality imported casual new trend printed T shirt for men,289138,170618021,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=170618021&channelSource=pdp
4.3,223,https://www.daraz.pk/products/select-by-daraz-t-shirt-for-men-boys-round-neck-pack-of-2-i283006332-s1523299094.html?search=1,999,590,-41%,https://static-01.daraz.pk/p/70c0f2dc9e1b0987252731946dd4f777.jpg,Select by Daraz,Select by Daraz  - T shirt For Men & Boys (Round Neck) -  Pack of 2,123801216,283006332,Select by Daraz,92%,0.92,3,1000000,100%,//www.daraz.pk/shop/select-by-daraz/?itemId=283006332&channelSource=pdp
4.4,146,https://www.daraz.pk/products/select-by-daraz-t-shirt-for-men-boys-round-neck-pack-of-5-i282999660-s1523289390.html?search=1,2425,1399,-42%,https://static-01.daraz.pk/p/f76434051804d14e449779f4112a77df.jpg,Select by Daraz,Select by Daraz  - T shirt For Men & Boys (Round Neck) -  Pack of 5,123801216,282999660,Select by Daraz,92%,0.92,3,1000000,100%,//www.daraz.pk/shop/select-by-daraz/?itemId=282999660&channelSource=pdp
4.3,7,https://www.daraz.pk/products/2-i395138717-s1920262490.html?search=1,1200.0,664.0,-45%,https://static-01.daraz.pk/p/2bb188bc3b1ae63ef009892ff7479b53.jpg,Richman,RichMan Brand Pack of 2 premium printed T-shirt batman and Superman,155051,395138717,Rich Man,85%,0.85,3,6005013627338,100%,//www.daraz.pk/shop/rich-man/?itemId=395138717&channelSource=pdp
