product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
4.4,677,https://www.daraz.pk/products/5-i266012218-s1481879435.html?search=1,2000,1699,-15%,https://static-01.daraz.pk/p/637b0aa34005a2e39b46af02a525a9a5.jpg,The Vintage,The Vintage Clothing Pack of 5 basic premium full sleeves T shirts,289138,266012218,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=266012218&channelSource=pdp
4.7,247,https://www.daraz.pk/products/5-u-uu-uuu-u-u-u-u-u-uuuu-u-u-u-i354245300-s1787534978.html?search=1,2000,1699,-15%,https://static-01.daraz.pk/p/9fdea4f55eafc59a094b77108462843a.jpg,The Vintage,Pack of 5 high quality gym printed T-shirt tees for men,289138,354245300,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=354245300&channelSource=pdp
,,https://www.daraz.pk/products/2-i117224580-s1269682916.html?search=1,699,650,-7%,https://static-01.daraz.pk/p/c51f0d53cc9510c72cfe0e0e29d9df0f.jpg,No Brand,FACE 2  ROUND NECK HALF SLEEVES PRINTED T-Shirt,39704,117224580,Wardrobe,85%,0.85,3,1083163,85%,//www.daraz.pk/shop/orange-store/?itemId=117224580&channelSource=pdp
4.6,179,https://www.daraz.pk/products/amazing-summer-collection-smart-fit-white-trendy-printed-o-neck-half-sleeves-t-shirt-for-men-i227866291-s1448228517.html?search=1,369,357,-3%,https://static-01.daraz.pk/p/0143f5e2b4b50349123d0e25f3f27a18.jpg,No Brand,Amazing Summer Collection Smart Fit White Trendy Printed O-Neck Half Sleeves T Shirt For Men,39704,227866291,JUST THINK N BUY,85%,0.85,3,1066703,93%,//www.daraz.pk/shop/just-think-n-buy/?itemId=227866291&channelSource=pdp
,,https://www.daraz.pk/products/mens-black-damage-style-printed-full-sleeves-t-shirt-i400917949-s1935619697.html?search=1,1299,767,-41%,,No Brand,Men's Black Damage Style Printed Full Sleeves T-shirt,39704,400917949,EZI Pick,78%,0.78,3,1104934,82%,//www.daraz.pk/shop/ezi-pick/?itemId=400917949&channelSource=pdp
4.4,1096,https://www.daraz.pk/products/the-vintage-clothing-basic-premium-t-shirt-i143156136-s1304030511.html?search=1,500,350,-30%,https://static-01.daraz.pk/p/4b8b257428286bc26d5727b3f49cd0d5.jpg,The Vintage,The Vintage Clothing basic premium T shirt for men,289138,143156136,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=143156136&channelSource=pdp
,,https://www.daraz.pk/products/-i396956881-s1922687365.html?search=1,829,331,-60%,https://static-01.daraz.pk/p/2361731c86f8699e971cc3e60d5c2d34.jpg,No Brand,New Branded Stylish Half  Sleeve T Shirt for Men,39704,396956881,YH ASSOCIATES,79%,0.79,3,1005610,100%,//www.daraz.pk/shop/yh-associates/?itemId=396956881&channelSource=pdp
4.6,175,https://www.daraz.pk/products/-i395947546-s1921131004.html?search=1,699,359,-49%,https://static-01.daraz.pk/p/cb541cd91b50a434bb8ac886b7b0de61.jpg,No Brand,New THE Boys Printed T shirt for men Half sleeves round neck Trendy T shirt,39704,395947546,amjad store 1643017839,91%,0.91,3,6005016192375,93%,//www.daraz.pk/shop/amjad-store-1643017839/?itemId=395947546&channelSource=pdp
4.6,3316,https://www.daraz.pk/products/aaaaaaaa-aaaaaaaa-5-aaaa-aaaaaa-aaaaaaaa-aaaaaaaa-aaaaaaaaaa-aaaaaaaa-aaaa-aaaaaa-i143150814-s1304028652.html?search=1,2000,1450,-28%,https://static-01.daraz.pk/p/6c8828d04f255677c3441838f0eda6b7.jpg,The Vintage,The Vintage Clothing Pack of 5 plain half sleeves T shirts for men,289138,143150814,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=143150814&channelSource=pdp
4.6,868,https://www.daraz.pk/products/5-u-uu-uuu-u-u-u-u-u-uuuu-u-u-u-i169102811-s1338716564.html?search=1,5000,1650,-67%,https://static-01.daraz.pk/p/47c2687fe38b5ea9764ae78bb79614f1.jpg,The Vintage,Pack of 5 high quality printed T-shirt tees for men,289138,169102811,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=169102811&channelSource=pdp
